cbsacode,user_id1,user_id2,distance_m,lat_home1,lon_home1,lat_home2,lon_home2
12420,792,951,32738,29.911383031318298,-97.33834000228256,30.179203988785773,-97.18903538382747
12420,453,189,25538,30.444387179184268,-97.5984628686083,30.359224835281235,-97.85646642504076
12420,498,271,79553,30.678173231381955,-97.56971071912598,29.975901191256913,-97.74748549943376
12420,19,157,65232,30.111230925024167,-98.14516249886927,30.662534458909285,-97.89727419804272
12420,432,388,18174,30.73455036889032,-97.6185236596992,30.571756648886996,-97.64186068154707
12420,372,375,48747,30.16470127968741,-97.65297161718644,30.60442620281709,-97.65125661512852
12420,852,288,87094,30.694999187686236,-97.28892909863572,29.99973715399444,-97.72958104547196
12420,546,983,56822,30.515308062743774,-97.54157116991361,30.151521765677696,-97.10672949853148
12420,755,316,32782,29.831734002154054,-97.3709064490419,29.93899858623699,-97.70080425735895
12420,434,68,88584,30.59438602023858,-97.61511087678166,29.867518821029087,-98.01434916800707
12420,176,188,63502,30.57966094895578,-97.87352483294508,30.007006150136398,-97.85648451113356
12420,850,875,8042,30.17683581580966,-97.29508932833302,30.10654558761267,-97.27349739255929
12420,820,219,62055,30.3360694992021,-97.31491424289051,29.95954489232306,-97.81250701722875
12420,375,858,43425,30.60442620281709,-97.65125661512852,30.35771409404708,-97.28414499984757
12420,95,743,56121,30.438280787350113,-97.98009495109255,30.344014685441202,-97.38066488505159
12420,512,429,53889,30.834947447946025,-97.55862136673747,30.351457922672147,-97.61937049417195
12420,495,977,49518,30.483297721128093,-97.57036620877531,30.236956056442,-97.12149543273244
12420,772,300,100757,30.593153400603082,-97.35620095965528,29.734595441548223,-97.71463300057209
12420,597,216,30361,29.9683498455439,-97.50779840588368,29.873592365616787,-97.81556293106695
12420,506,676,14011,30.671288969718425,-97.56571180270186,30.601290696784552,-97.43846956721475
12420,575,158,48174,30.266379783489892,-97.5226915312005,30.570194883076322,-97.89726056076348
12420,376,925,64804,30.53632323000327,-97.65063232078775,30.071687270826065,-97.22361182969779
12420,48,919,78160,30.11633070476163,-98.0752571323342,30.090921046771197,-97.22934760189499
12420,61,211,43189,30.48253956663584,-98.04308907100905,30.139001243042653,-97.82188177271945
12420,941,902,28960,30.053854295562363,-97.20669761749573,30.312964547176133,-97.24675169171503
12420,839,98,64320,30.491324224047585,-97.30362342217373,30.654604412578173,-97.97621351348599
12420,296,159,16581,29.829382236597944,-97.71919008437877,29.855572347344776,-97.89537840288119
12420,888,751,22524,30.125668657977595,-97.25884434244654,30.30501105500469,-97.37368179183528
12420,522,252,89455,30.67869610828581,-97.55257006819096,29.892687162972223,-97.77233904486648
12420,103,40,17499,29.959090250558933,-97.97172086055986,30.079954469167507,-98.09350050882611
12420,855,687,36909,30.10461021602606,-97.28713230051822,29.794045263175384,-97.430955788065
12420,584,376,81105,29.813361143089217,-97.5156395494553,30.53632323000327,-97.65063232078775
12420,932,786,12713,29.932188644518646,-97.21399180278019,29.896499598620117,-97.3445179347166
12420,679,251,68223,30.78834081082182,-97.43531899766062,30.24032452533623,-97.77330748693194
12420,94,99,43462,30.420959999346113,-97.98206578666367,30.02893793868392,-97.97526080374058
12420,622,747,19184,30.48394067061399,-97.48334705642046,30.335201852949503,-97.37671267715281
12420,786,886,23717,29.896499598620117,-97.3445179347166,30.098487820392194,-97.25993464857105
12420,898,913,9604,30.65689229467835,-97.24988824024626,30.57139643216913,-97.23294365179979
12420,331,274,14956,29.72640032500767,-97.683907840771,29.851404820955732,-97.7446130324637
12420,528,891,51526,30.162211582358587,-97.5494589960052,30.55799860022653,-97.25588284650348
12420,701,154,45916,30.078853980544956,-97.41943729003374,29.979469382171505,-97.901702774221
12420,166,818,70801,30.50575402705869,-97.892233665527,30.08205407869773,-97.31704495737158
12420,848,359,38492,29.981666791829216,-97.29573588495131,30.153279432105943,-97.6579584237017
12420,780,865,26976,29.98550564823607,-97.34828646208342,30.222122463804812,-97.28005038086455
12420,50,98,81352,29.924942303981922,-98.07041883379591,30.654604412578173,-97.97621351348599
12420,591,407,43934,30.288681237368156,-97.51123265949022,30.67195695535829,-97.63284136004178
12420,368,52,43247,30.20271305977606,-97.65524377806857,30.01714029514311,-98.06725522290544
12420,186,7,85684,30.800828552241285,-97.86227947938691,30.07445500245426,-98.180826410366
12420,604,479,9770,30.11659598572559,-97.50041219298436,30.06036841596302,-97.58187851422008
12420,969,174,70290,30.101714430945165,-97.14273100159166,30.26943020016742,-97.87764082599185
12420,551,969,42016,30.28846185721162,-97.5391735606104,30.101714430945165,-97.14273100159166
12420,113,302,60678,29.84409294309274,-97.95124865989554,30.354481045388756,-97.71380455368708
